,original_prices,original_competitor_prices,original_revenue,optimised_revenue_calculated,model_optimised_prices
0,2662.04,2753.3413012642463,2262.734,2380.4362378363558,2395.0
1,2397.08,2468.2083238548253,1893.6932,1922.9848288270157,2340.0
2,2535.13,2567.600713390493,1926.6988,2091.6956837723537,2395.0
3,2515.19,2721.744615981285,2288.8229,2345.0982320579405,2395.0
4,2582.25,2789.885533346456,2375.67,2407.8320434085385,2395.0
5,2789.24,2855.3852125205804,2342.9616,2469.4883031119616,2395.0
6,2525.26,2555.277258955745,1893.945,2074.7276498552296,2395.0
7,2549.31,2755.4321808560185,2345.3652,2380.4362378363558,2395.0
8,2583.35,2797.036070314868,2376.682,2426.4546064934534,2395.0
9,2465.43,2623.6985073011338,2169.5784,2259.887655118016,2395.0
10,2772.49,2884.865672319766,2412.0663,2480.059923477277,2395.0
11,2540.56,2712.2801822436527,2286.504,2343.4876516880545,2395.0
12,2619.58,2816.9305742835545,2383.8178,2434.566673783543,2395.0
13,2488.7,2626.037593896534,2140.282,2259.887655118016,2395.0
14,2448.7,2539.1998859542905,1983.447,2005.50171673987,2350.0
15,2411.76,2567.562762669629,2122.3488,2091.6956837723537,2395.0
16,2418.8,2458.926199267464,1838.288,1883.0253728910332,2310.0
17,2511.86,2534.261626795093,1858.7764,2005.50171673987,2350.0
18,2904.93,3120.390323316534,2730.6341999999995,2586.8910187730608,2395.0
19,2667.94,2736.512363185728,2187.7108,2356.0865738549496,2395.0
20,2534.02,2672.439716995096,2204.5974,2293.8671598445894,2395.0
21,2562.09,2715.799328543565,2280.2601,2343.4876516880545,2395.0
22,2450.13,2623.695584013226,2205.117,2259.887655118016,2395.0
23,2670.17,2694.844815403508,2082.7326000000003,2321.4934818807533,2395.0
24,2644.21,2794.692142948991,2353.3469,2426.4546064934534,2395.0
25,2614.22,2752.324321419294,2300.5136,2380.4362378363558,2395.0
26,2661.27,2844.535925386358,2421.7557,2469.4883031119616,2395.0
27,2613.34,2657.403891844565,2064.5386000000003,2276.919839219531,2395.0
28,2524.42,2648.3986670889576,2171.0012,2279.793558709704,2395.0
29,2653.49,2789.398491191592,2335.0712,2407.8320434085385,2395.0
30,2587.52,2753.3976513678467,2328.768,2380.4362378363558,2395.0
31,2586.59,2801.4249246581894,2379.6628,2426.4546064934534,2395.0
32,2789.64,2831.803589600003,2259.6084,2443.714633366541,2395.0
33,2753.62,2888.1287335980123,2450.7218,2516.6470209426516,2395.0
34,2552.66,2743.936088896181,2322.9206,2375.724578035923,2395.0
35,2571.8,2704.9554321465453,2237.4660000000003,2325.1327560353084,2395.0
36,2521.79,2545.647837791755,1866.1246,2074.7276498552296,2395.0
37,2564.89,2584.727968099522,1898.0186,2138.270277785632,2395.0
38,2542.88,2578.7067693043027,1932.5888,2138.270277785632,2395.0
39,2736.99,2914.7347065210247,2518.0308,2516.6470209426516,2395.0
40,2682.01,2879.2287769544114,2467.4492000000005,2480.059923477277,2395.0
41,2606.03,2820.75805071812,2397.5476000000003,2434.566673783543,2395.0
42,2566.12,2741.0144776187462,2309.508,2375.724578035923,2395.0
43,2567.17,2763.1127174522303,2361.7964,2385.931723400496,2395.0
44,2558.18,2602.709692592211,2020.9622,2218.5397174388113,2395.0
45,2621.27,2736.6982174441146,2254.2922,2356.0865738549496,2395.0
46,2725.27,2936.476258093948,2534.5011,2534.9964122380466,2395.0
47,2757.32,2823.9987215826704,2288.5756,2434.566673783543,2395.0
48,2548.36,2672.4385352923905,2191.5896,2293.8671598445894,2395.0
49,2596.45,2703.737919665952,2206.9825,2325.1327560353084,2395.0
50,2566.52,2700.4328546981687,2232.8724,2321.4934818807533,2395.0
51,2723.56,2920.6876960794166,2532.9108,2542.501998098208,2395.0
52,2830.63,2919.676780813817,2462.6481,2542.501998098208,2395.0
53,2908.66,2965.291689582148,2472.361,2579.864452108677,2395.0
54,2735.66,2901.3436027319453,2462.094,2516.6470209426516,2395.0
55,2517.79,2550.4640669975306,1913.5204,2074.7276498552296,2395.0
56,2615.79,2710.9664514560272,2223.4215,2343.4876516880545,2395.0
57,2619.85,2777.2129788121647,2331.6665,2396.295405273089,2395.0
58,2590.95,2754.9852348238937,2331.855,2380.4362378363558,2395.0
59,2556.99,2661.465020780929,2147.8716,2276.919839219531,2395.0
60,2632.04,2729.9630203075635,2263.5544,2356.0865738549496,2395.0
61,2719.05,2780.970494508929,2256.8115000000003,2396.295405273089,2395.0
62,2539.15,2608.805403038689,2056.7115000000003,2218.5397174388113,2395.0
63,2477.11,2612.915118020269,2155.0857,2218.5397174388113,2395.0
64,2541.19,2584.939126143743,1982.1282,2138.270277785632,2395.0
65,2562.24,2604.9562199483485,1972.9248,2218.5397174388113,2395.0
66,2520.28,2539.068464316936,1839.8044,2005.50171673987,2350.0
67,2686.39,2804.810005974087,2337.1593,2426.4546064934534,2395.0
